optimum=130178
execution_time=10.235501200000002,start_time=7.9734989,stop_time=18.2090001
best_iteration=30,overall_iterations=33
[(93, 62), (139, 87), (119, 28), (135, 84), (167, 163), (123, 129), (33, 69), (188, 57), (100, 125), (108, 166), (124, 50), (175, 25), (111, 181), (197, 29), (133, 11), (47, 194), (83, 185), (54, 71), (192, 178), (177, 153), (60, 196), (154, 15), (128, 126), (23, 55), (74, 170), (158, 77), (8, 0), (145, 66), (136, 94), (132, 134), (112, 120), (46, 114), (12, 186), (30, 67), (193, 61), (102, 7), (40, 72), (22, 13), (73, 143), (195, 116), (165, 31), (131, 59), (142, 86), (113, 189), (80, 160), (52, 141), (20, 182), (199, 6), (56, 78), (64, 32), (144, 4), (127, 187), (10, 162), (63, 179), (35, 36), (107, 109), (103, 180), (96, 171), (51, 53), (44, 58), (149, 81), (151, 159), (41, 38), (2, 82), (91, 89), (104, 14), (1, 3), (99, 95), (156, 155), (118, 19), (18, 17), (161, 98), (117, 75), (43, 45), (9, 106), (68, 79), (137, 49), (168, 101), (176, 24), (48, 157), (198, 76), (110, 172), (21, 70), (39, 37), (85, 97), (183, 65), (130, 140), (34, 27), (174, 173), (115, 146), (164, 42), (16, 5), (152, 150), (122, 190), (26, 92), (88, 90), (147, 148), (169, 138), (184, 191), (121, 105)]
fitness=697768.0,iteration=0,gap=436.0106930510532,delta=567590.0,timestamp=8.2691545
fitness=683868.0,iteration=1,gap=425.33300557697925,delta=553690.0,timestamp=8.5544592
fitness=683578.0,iteration=2,gap=425.1102336800381,delta=553400.0,timestamp=8.8539609
fitness=648286.0,iteration=4,gap=397.9996620012598,delta=518108.0,timestamp=9.4500778
fitness=646660.0,iteration=7,gap=396.7506030204797,delta=516482.0,timestamp=10.3614351
fitness=631502.0,iteration=8,gap=385.10654642105425,delta=501324.0,timestamp=10.6592527
fitness=630648.0,iteration=10,gap=384.4505215935104,delta=500470.0,timestamp=11.2735155
fitness=624382.0,iteration=11,gap=379.6371122616725,delta=494204.0,timestamp=11.5826291
fitness=621774.0,iteration=12,gap=377.6337015471124,delta=491596.0,timestamp=11.8806942
fitness=603788.0,iteration=13,gap=363.8172348630337,delta=473610.0,timestamp=12.181963
fitness=597010.0,iteration=16,gap=358.61051790625146,delta=466832.0,timestamp=13.0694087
fitness=596314.0,iteration=18,gap=358.0758653535928,delta=466136.0,timestamp=13.6979934
fitness=589434.0,iteration=19,gap=352.7907941434036,delta=459256.0,timestamp=14.0001506
fitness=588798.0,iteration=20,gap=352.30223232804315,delta=458620.0,timestamp=14.2992617
fitness=573052.0,iteration=21,gap=340.2064865030958,delta=442874.0,timestamp=14.5947269
fitness=571208.0,iteration=23,gap=338.7899645101323,delta=441030.0,timestamp=15.2008696
fitness=561330.0,iteration=25,gap=331.20189279294505,delta=431152.0,timestamp=15.8308903
fitness=556008.0,iteration=26,gap=327.11364439459817,delta=425830.0,timestamp=16.1411037
fitness=549686.0,iteration=27,gap=322.25721704128193,delta=419508.0,timestamp=16.4378182
fitness=548852.0,iteration=28,gap=321.61655579283746,delta=418674.0,timestamp=16.7334935
fitness=537252.0,iteration=30,gap=312.70567991519306,delta=407074.0,timestamp=17.3146104
