optimum=34198
execution_time=300.0368229,start_time=7.7508149,stop_time=307.7876378
[(30, 31), (17, 27), (1, 0), (24, 23), (48, 26), (34, 35), (10, 9), (25, 22), (3, 2), (39, 37), (43, 44), (42, 45), (21, 47), (32, 33), (15, 14), (40, 41), (5, 11), (46, 6), (16, 18), (38, 36), (20, 19), (8, 7), (29, 28), (49, 4), (12, 13)]
fitness=141928.0,iteration=0,gap=315.0184221299491,delta=107730.0,timestamp=8.2895035
fitness=120642.0,iteration=1,gap=252.77501608281185,delta=86444.0,timestamp=8.7629413
fitness=118340.0,iteration=3,gap=246.0436282823557,delta=84142.0,timestamp=9.7657428
fitness=104146.0,iteration=4,gap=204.53827709222762,delta=69948.0,timestamp=10.2162311
fitness=101318.0,iteration=7,gap=196.2687876484005,delta=67120.0,timestamp=11.6000606
fitness=100244.0,iteration=8,gap=193.1282531142172,delta=66046.0,timestamp=12.071842
fitness=97952.0,iteration=9,gap=186.42610678987074,delta=63754.0,timestamp=12.5215376
fitness=88600.0,iteration=11,gap=159.0794783320662,delta=54402.0,timestamp=13.4459178
fitness=87462.0,iteration=13,gap=155.75179835078075,delta=53264.0,timestamp=14.3697426
fitness=77988.0,iteration=14,gap=128.04842388443768,delta=43790.0,timestamp=14.8416967
fitness=75240.0,iteration=15,gap=120.01286624948828,delta=41042.0,timestamp=15.2990619
fitness=74438.0,iteration=18,gap=117.66769986548921,delta=40240.0,timestamp=16.7320208
fitness=63622.0,iteration=19,gap=86.04011930522253,delta=29424.0,timestamp=17.2004091
fitness=62172.0,iteration=22,gap=81.80010526931399,delta=27974.0,timestamp=18.6760317
fitness=55294.0,iteration=23,gap=61.6878180010527,delta=21096.0,timestamp=19.1364499
fitness=51950.0,iteration=24,gap=51.90946838996433,delta=17752.0,timestamp=19.5921858
fitness=50458.0,iteration=26,gap=47.54664015439499,delta=16260.0,timestamp=20.5751734
fitness=46884.0,iteration=27,gap=37.095736592783204,delta=12686.0,timestamp=21.0699888
fitness=44190.0,iteration=31,gap=29.218082928826245,delta=9992.0,timestamp=23.0049432
fitness=41210.0,iteration=32,gap=20.50412304813147,delta=7012.0,timestamp=23.4697819
fitness=41162.0,iteration=34,gap=20.363763962804843,delta=6964.0,timestamp=24.3753562
fitness=40930.0,iteration=36,gap=19.685361717059475,delta=6732.0,timestamp=25.3319957
fitness=39156.0,iteration=38,gap=14.497923855196209,delta=4958.0,timestamp=26.2764216
fitness=37164.0,iteration=47,gap=8.673021814141178,delta=2966.0,timestamp=30.2871903
fitness=36898.0,iteration=51,gap=7.895198549622785,delta=2700.0,timestamp=31.959179
fitness=35942.0,iteration=54,gap=5.0997134335341245,delta=1744.0,timestamp=33.2232857
fitness=35676.0,iteration=57,gap=4.321890169015732,delta=1478.0,timestamp=34.3641489
fitness=35150.0,iteration=69,gap=2.7837885256447743,delta=952.0,timestamp=38.973334
fitness=35076.0,iteration=79,gap=2.567401602432891,delta=878.0,timestamp=42.6588122
fitness=34838.0,iteration=80,gap=1.8714544710216972,delta=640.0,timestamp=43.0319765
fitness=34764.0,iteration=85,gap=1.6550675478098136,delta=566.0,timestamp=44.7000482
fitness=34756.0,iteration=94,gap=1.6316743669220424,delta=558.0,timestamp=47.8165093
fitness=34730.0,iteration=256,gap=1.5556465290367858,delta=532.0,timestamp=83.4730726
