optimum=83495
execution_time=356.5960089,start_time=3.4079825,stop_time=360.0039914
[(94, 74), (41, 90), (22, 24), (13, 92), (35, 36), (98, 97), (8, 12), (33, 34), (95, 99), (2, 17), (67, 65), (18, 16), (52, 53), (87, 85), (62, 61), (64, 75), (29, 30), (32, 31), (37, 38), (59, 58), (89, 73), (26, 25), (23, 21), (0, 1), (51, 50), (10, 9), (45, 44), (84, 82), (47, 46), (28, 27), (93, 91), (6, 5), (63, 66), (77, 3), (49, 48), (40, 39), (79, 81), (14, 15), (54, 55), (96, 88), (76, 68), (20, 19), (86, 83), (42, 43), (71, 70), (11, 7), (57, 56), (60, 4), (78, 80), (72, 69)]
fitness=350167.0,iteration=0,gap=319.38678962812145,delta=266672.0,timestamp=3.9186784
fitness=345703.0,iteration=1,gap=314.0403616983053,delta=262208.0,timestamp=4.4325427
fitness=318025.0,iteration=2,gap=280.89107132163605,delta=234530.0,timestamp=4.9621748
fitness=315481.0,iteration=4,gap=277.84418228636446,delta=231986.0,timestamp=6.0334701
fitness=306181.0,iteration=5,gap=266.7057907659141,delta=222686.0,timestamp=6.5609017
fitness=305231.0,iteration=6,gap=265.5679980837176,delta=221736.0,timestamp=7.0729738
fitness=289393.0,iteration=8,gap=246.5991975567399,delta=205898.0,timestamp=8.1621935
fitness=275811.0,iteration=10,gap=230.33235523085213,delta=192316.0,timestamp=9.1786192
fitness=271727.0,iteration=11,gap=225.4410443739146,delta=188232.0,timestamp=9.694268
fitness=270935.0,iteration=12,gap=224.49248457991496,delta=187440.0,timestamp=10.1966362
fitness=255461.0,iteration=13,gap=205.9596383016947,delta=171966.0,timestamp=10.718902
fitness=242735.0,iteration=18,gap=190.7180070662914,delta=159240.0,timestamp=13.3242671
fitness=235597.0,iteration=21,gap=182.16899215521886,delta=152102.0,timestamp=14.8992961
fitness=233519.0,iteration=22,gap=179.6802203724774,delta=150024.0,timestamp=15.4148185
fitness=232195.0,iteration=27,gap=178.0944966764477,delta=148700.0,timestamp=18.1390773
fitness=230811.0,iteration=28,gap=176.43691238996345,delta=147316.0,timestamp=18.6453945
fitness=229961.0,iteration=29,gap=175.41888735852447,delta=146466.0,timestamp=19.1673588
fitness=221565.0,iteration=30,gap=165.36319540092222,delta=138070.0,timestamp=19.7075515
fitness=220295.0,iteration=33,gap=163.84214623630157,delta=136800.0,timestamp=21.1958548
fitness=213445.0,iteration=34,gap=155.63806215941074,delta=129950.0,timestamp=21.6685515
fitness=212129.0,iteration=35,gap=154.06191987544165,delta=128634.0,timestamp=22.1441591
fitness=203889.0,iteration=37,gap=144.19306545302112,delta=120394.0,timestamp=23.0916857
fitness=201113.0,iteration=40,gap=140.8683154679921,delta=117618.0,timestamp=24.3767319
fitness=195031.0,iteration=41,gap=133.5840469489191,delta=111536.0,timestamp=24.8043181
fitness=186401.0,iteration=42,gap=123.24809868854423,delta=102906.0,timestamp=25.3087272
fitness=181517.0,iteration=45,gap=117.39864662554645,delta=98022.0,timestamp=26.5686031
fitness=181487.0,iteration=46,gap=117.36271633031919,delta=97992.0,timestamp=26.9635109
fitness=174447.0,iteration=47,gap=108.93107371698905,delta=90952.0,timestamp=27.3131055
fitness=167545.0,iteration=49,gap=100.66471046170429,delta=84050.0,timestamp=28.0658733
fitness=166933.0,iteration=51,gap=99.93173243906821,delta=83438.0,timestamp=28.9948783
fitness=166287.0,iteration=52,gap=99.15803341517456,delta=82792.0,timestamp=29.443725
fitness=161389.0,iteration=53,gap=93.29181388107072,delta=77894.0,timestamp=29.9027244
fitness=158899.0,iteration=55,gap=90.30959937720822,delta=75404.0,timestamp=30.8947317
fitness=154195.0,iteration=57,gap=84.67572908557399,delta=70700.0,timestamp=31.880612
fitness=152929.0,iteration=58,gap=83.15947062698366,delta=69434.0,timestamp=32.3967425
fitness=149579.0,iteration=59,gap=79.14725432660639,delta=66084.0,timestamp=32.919188
fitness=144591.0,iteration=60,gap=73.17324390682077,delta=61096.0,timestamp=33.3855435
fitness=139167.0,iteration=64,gap=66.67704652973232,delta=55672.0,timestamp=35.2385068
fitness=138437.0,iteration=65,gap=65.80274267920235,delta=54942.0,timestamp=35.7394994
fitness=134997.0,iteration=66,gap=61.682735493143305,delta=51502.0,timestamp=36.2407826
fitness=132433.0,iteration=68,gap=58.61189292772022,delta=48938.0,timestamp=37.208732
fitness=132355.0,iteration=70,gap=58.51847416012935,delta=48860.0,timestamp=38.2001153
fitness=130765.0,iteration=71,gap=56.614168513084614,delta=47270.0,timestamp=38.7156263
fitness=128169.0,iteration=72,gap=53.50500029941912,delta=44674.0,timestamp=39.1745788
fitness=123593.0,iteration=73,gap=48.02443260075454,delta=40098.0,timestamp=39.6589615
fitness=120695.0,iteration=77,gap=44.55356608180131,delta=37200.0,timestamp=41.5425594
fitness=119079.0,iteration=78,gap=42.618120845559616,delta=35584.0,timestamp=42.0794078
fitness=118947.0,iteration=80,gap=42.46002754655967,delta=35452.0,timestamp=43.0137174
fitness=117875.0,iteration=83,gap=41.176118330438946,delta=34380.0,timestamp=44.3546902
fitness=116849.0,iteration=84,gap=39.94730223366669,delta=33354.0,timestamp=44.7491492
fitness=116643.0,iteration=88,gap=39.700580873106176,delta=33148.0,timestamp=46.5166163
fitness=116525.0,iteration=89,gap=39.55925504521229,delta=33030.0,timestamp=46.921429
fitness=116135.0,iteration=92,gap=39.09216120725792,delta=32640.0,timestamp=48.1562
fitness=115941.0,iteration=93,gap=38.85981196478831,delta=32446.0,timestamp=48.5904629
fitness=114021.0,iteration=94,gap=36.560273070243724,delta=30526.0,timestamp=49.0528439
fitness=113827.0,iteration=96,gap=36.327923827774114,delta=30332.0,timestamp=49.8977328
fitness=113217.0,iteration=97,gap=35.597341158153185,delta=29722.0,timestamp=50.248711
fitness=111711.0,iteration=101,gap=33.793640337744776,delta=28216.0,timestamp=51.7972638
fitness=111247.0,iteration=102,gap=33.23791843822983,delta=27752.0,timestamp=52.1523378
fitness=110743.0,iteration=104,gap=32.63428947841188,delta=27248.0,timestamp=53.0133082
fitness=110251.0,iteration=106,gap=32.04503263668484,delta=26756.0,timestamp=53.8300848
fitness=109653.0,iteration=109,gap=31.3288220851548,delta=26158.0,timestamp=55.0685092
fitness=107855.0,iteration=110,gap=29.1753997245344,delta=24360.0,timestamp=55.4764859
fitness=107477.0,iteration=111,gap=28.722678004670936,delta=23982.0,timestamp=55.8818849
fitness=107363.0,iteration=112,gap=28.58614288280735,delta=23868.0,timestamp=56.2689638
fitness=105839.0,iteration=113,gap=26.760883885262594,delta=22344.0,timestamp=56.5585352
fitness=105347.0,iteration=114,gap=26.17162704353554,delta=21852.0,timestamp=56.9778885
fitness=105235.0,iteration=115,gap=26.037487274687106,delta=21740.0,timestamp=57.2804279
fitness=104925.0,iteration=116,gap=25.666207557338762,delta=21430.0,timestamp=57.6200499
fitness=104783.0,iteration=118,gap=25.49613749326307,delta=21288.0,timestamp=58.5807761
fitness=104701.0,iteration=121,gap=25.397928019641896,delta=21206.0,timestamp=60.3190894
fitness=104539.0,iteration=122,gap=25.2039044254147,delta=21044.0,timestamp=60.690925
fitness=104439.0,iteration=126,gap=25.084136774657168,delta=20944.0,timestamp=62.2684519
fitness=103293.0,iteration=127,gap=23.711599496975865,delta=19798.0,timestamp=62.7036545
fitness=103193.0,iteration=131,gap=23.591831846218337,delta=19698.0,timestamp=64.1640113
fitness=102927.0,iteration=133,gap=23.273249895203303,delta=19432.0,timestamp=64.7303162
fitness=101347.0,iteration=134,gap=21.380921013234325,delta=17852.0,timestamp=65.0394492
fitness=100809.0,iteration=138,gap=20.736571052158812,delta=17314.0,timestamp=66.2267714
fitness=100129.0,iteration=140,gap=19.922151027007608,delta=16634.0,timestamp=66.7995593
fitness=99747.0,iteration=141,gap=19.46463860111384,delta=16252.0,timestamp=67.0996575
fitness=99575.0,iteration=142,gap=19.25863824181089,delta=16080.0,timestamp=67.4587009
fitness=98979.0,iteration=143,gap=18.544823043296006,delta=15484.0,timestamp=67.7519361
fitness=98857.0,iteration=144,gap=18.398706509371817,delta=15362.0,timestamp=68.0350009
fitness=98399.0,iteration=145,gap=17.85017066890233,delta=14904.0,timestamp=68.3089321
