optimum=34198
execution_time=23.4665553,start_time=1.3880345,stop_time=24.8545898
[(0, 1), (32, 33), (39, 37), (48, 26), (35, 34), (45, 43), (4, 6), (44, 49), (31, 30), (8, 7), (2, 3), (20, 18), (14, 15), (19, 17), (27, 16), (36, 38), (42, 46), (21, 47), (28, 29), (13, 12), (23, 24), (11, 10), (5, 9), (41, 40), (22, 25)]
fitness=127990.0,iteration=0,gap=274.2616527282297,delta=93792.0,timestamp=1.6704402
fitness=126938.0,iteration=1,gap=271.18544944148783,delta=92740.0,timestamp=1.9562119
fitness=125682.0,iteration=2,gap=267.51272004210773,delta=91484.0,timestamp=2.2583353
fitness=114092.0,iteration=3,gap=233.6218492309492,delta=79894.0,timestamp=2.5462631
fitness=107870.0,iteration=4,gap=215.4278027954851,delta=73672.0,timestamp=2.8346729
fitness=103394.0,iteration=5,gap=202.33931808877713,delta=69196.0,timestamp=3.1216587
fitness=96328.0,iteration=7,gap=181.6772910696532,delta=62130.0,timestamp=3.708752
fitness=91832.0,iteration=9,gap=168.53032341072577,delta=57634.0,timestamp=4.2655763
fitness=91366.0,iteration=10,gap=167.1676706240131,delta=57168.0,timestamp=4.5483666
fitness=87482.0,iteration=11,gap=155.81028130300018,delta=53284.0,timestamp=4.846451
fitness=84994.0,iteration=12,gap=148.53500204690334,delta=50796.0,timestamp=5.1310734
fitness=83922.0,iteration=13,gap=145.40031580794198,delta=49724.0,timestamp=5.4245353
fitness=74386.0,iteration=15,gap=117.5156441897187,delta=40188.0,timestamp=6.0088695
fitness=73390.0,iteration=17,gap=114.60319316919119,delta=39192.0,timestamp=6.5884617
fitness=72200.0,iteration=19,gap=111.12345751213522,delta=38002.0,timestamp=7.1582771
fitness=71310.0,iteration=20,gap=108.52096613837065,delta=37112.0,timestamp=7.4465516
fitness=69218.0,iteration=21,gap=102.40364933621848,delta=35020.0,timestamp=7.7513898
fitness=66920.0,iteration=22,gap=95.68395812620622,delta=32722.0,timestamp=8.0472485
fitness=62932.0,iteration=24,gap=84.02245745365225,delta=28734.0,timestamp=8.6174669
fitness=60728.0,iteration=25,gap=77.57763611907129,delta=26530.0,timestamp=8.9057269
fitness=56646.0,iteration=26,gap=65.64126557108602,delta=22448.0,timestamp=9.213692
fitness=51636.0,iteration=27,gap=50.99128604011931,delta=17438.0,timestamp=9.5080032
fitness=49436.0,iteration=29,gap=44.558161295982224,delta=15238.0,timestamp=10.1030727
fitness=47584.0,iteration=32,gap=39.14263992046318,delta=13386.0,timestamp=10.954476
fitness=45942.0,iteration=35,gap=34.34118954324814,delta=11744.0,timestamp=11.7121282
fitness=45136.0,iteration=36,gap=31.984326568805194,delta=10938.0,timestamp=12.0031429
fitness=44996.0,iteration=38,gap=31.574945903269196,delta=10798.0,timestamp=12.5139595
fitness=44052.0,iteration=39,gap=28.81455055851219,delta=9854.0,timestamp=12.7797877
fitness=40450.0,iteration=40,gap=18.281770863793202,delta=6252.0,timestamp=13.0424276
fitness=39506.0,iteration=43,gap=15.521375519036201,delta=5308.0,timestamp=13.8507887
fitness=39194.0,iteration=44,gap=14.609041464413123,delta=4996.0,timestamp=14.1146447
fitness=37450.0,iteration=45,gap=9.509328030878999,delta=3252.0,timestamp=14.3974269
fitness=36506.0,iteration=47,gap=6.748932686121996,delta=2308.0,timestamp=14.9187117
fitness=35948.0,iteration=50,gap=5.117258319199953,delta=1750.0,timestamp=15.5685188
fitness=35444.0,iteration=53,gap=3.6434879232703663,delta=1246.0,timestamp=16.2640953
fitness=35166.0,iteration=57,gap=2.830574887420317,delta=968.0,timestamp=17.2528181
fitness=35092.0,iteration=73,gap=2.6141879642084334,delta=894.0,timestamp=21.0487489
fitness=34854.0,iteration=77,gap=1.9182408327972398,delta=656.0,timestamp=21.7965617
fitness=34780.0,iteration=80,gap=1.701853909585356,delta=582.0,timestamp=22.3463663
fitness=34566.0,iteration=82,gap=1.076086320837476,delta=368.0,timestamp=22.6828386
fitness=34558.0,iteration=83,gap=1.0526931399497046,delta=360.0,timestamp=22.8383469
fitness=34254.0,iteration=84,gap=0.1637522662143985,delta=56.0,timestamp=22.989608
fitness=34246.0,iteration=85,gap=0.14035908532662728,delta=48.0,timestamp=23.1393318
fitness=34198.0,iteration=96,gap=0.0,delta=0.0,timestamp=24.8545535
