optimum=104772
execution_time=300.534724,start_time=6.8766008,stop_time=307.4113248
[(144, 55), (24, 23), (38, 37), (75, 74), (133, 135), (105, 104), (64, 65), (94, 93), (8, 9), (36, 34), (69, 70), (101, 99), (142, 97), (45, 33), (115, 108), (125, 126), (111, 112), (63, 66), (56, 53), (82, 83), (137, 134), (77, 78), (40, 41), (80, 81), (136, 132), (0, 1), (43, 44), (146, 140), (117, 32), (120, 121), (57, 59), (61, 62), (51, 52), (84, 85), (91, 90), (138, 143), (54, 139), (96, 98), (12, 11), (50, 48), (29, 26), (86, 87), (39, 103), (13, 14), (114, 113), (109, 110), (10, 2), (21, 22), (4, 7), (60, 25), (73, 71), (119, 118), (107, 106), (123, 122), (128, 127), (145, 129), (19, 20), (47, 46), (79, 76), (16, 15), (72, 67), (141, 102), (35, 131), (42, 95), (89, 88), (68, 49), (27, 28), (3, 6), (58, 5), (149, 130), (147, 124), (30, 31), (17, 18), (92, 100), (116, 148)]
fitness=178716,iteration=0,gap=70.5761081204902,delta=73944,timestamp=8.5339034
fitness=172344,iteration=1,gap=64.49433054632917,delta=67572,timestamp=10.1857972
fitness=169274,iteration=3,gap=61.5641583629214,delta=64502,timestamp=13.4794951
fitness=169102,iteration=23,gap=61.39999236437216,delta=64330,timestamp=44.9205782
fitness=167252,iteration=40,gap=59.634253426487994,delta=62480,timestamp=69.3757564
fitness=166704,iteration=59,gap=59.111212919482305,delta=61932,timestamp=95.3178483
fitness=163478,iteration=84,gap=56.032145993204296,delta=58706,timestamp=129.1060112
fitness=160706,iteration=96,gap=53.386400946817844,delta=55934,timestamp=145.4413146
fitness=158250,iteration=144,gap=51.04226320009163,delta=53478,timestamp=210.2024927
fitness=154294,iteration=161,gap=47.26644523345932,delta=49522,timestamp=233.1313204
fitness=153380,iteration=184,gap=46.39407475279655,delta=48608,timestamp=261.639864
