optimum=83495
execution_time=357.7352195,start_time=2.2660754,stop_time=360.0012949
[(68, 67), (97, 98), (61, 64), (33, 36), (21, 22), (81, 92), (53, 60), (82, 86), (96, 94), (2, 74), (69, 71), (39, 95), (91, 93), (85, 87), (20, 19), (66, 65), (72, 70), (6, 5), (24, 23), (51, 52), (50, 73), (77, 79), (31, 32), (15, 14), (29, 30), (80, 78), (38, 37), (13, 18), (26, 25), (76, 75), (3, 4), (42, 43), (44, 45), (28, 27), (7, 8), (35, 34), (10, 12), (47, 46), (58, 59), (63, 62), (16, 17), (89, 99), (0, 1), (90, 88), (9, 11), (57, 54), (41, 40), (55, 56), (83, 84), (49, 48)]
fitness=348177.0,iteration=0,gap=317.0034133780466,delta=264682.0,timestamp=2.5305601
fitness=342331.0,iteration=1,gap=310.00179651476134,delta=258836.0,timestamp=2.786446
fitness=331789.0,iteration=3,gap=297.3758907719025,delta=248294.0,timestamp=3.3111465
fitness=310659.0,iteration=4,gap=272.06898616683634,delta=227164.0,timestamp=3.5956892
fitness=299205.0,iteration=7,gap=258.3507994490688,delta=215710.0,timestamp=4.4396509
fitness=288541.0,iteration=9,gap=245.57877717228575,delta=205046.0,timestamp=4.9792332
fitness=281743.0,iteration=12,gap=237.43697227378883,delta=198248.0,timestamp=5.770275
fitness=278315.0,iteration=13,gap=233.3313372058207,delta=194820.0,timestamp=6.0436598
fitness=260139.0,iteration=14,gap=211.562369004132,delta=176644.0,timestamp=6.3010195
fitness=255127.0,iteration=17,gap=205.55961434816456,delta=171632.0,timestamp=7.0407693
fitness=252513.0,iteration=18,gap=202.42888795736272,delta=169018.0,timestamp=7.3070152
fitness=239737.0,iteration=20,gap=187.12737289658062,delta=156242.0,timestamp=7.854721
fitness=235443.0,iteration=23,gap=181.98454997305225,delta=151948.0,timestamp=8.6629902
fitness=234905.0,iteration=26,gap=181.34020001197678,delta=151410.0,timestamp=9.4796235
fitness=228781.0,iteration=27,gap=174.00562907958562,delta=145286.0,timestamp=9.7257583
fitness=227341.0,iteration=28,gap=172.28097490867717,delta=143846.0,timestamp=9.9957759
fitness=226121.0,iteration=29,gap=170.8198095694353,delta=142626.0,timestamp=10.2757853
fitness=223963.0,iteration=30,gap=168.2352236660878,delta=140468.0,timestamp=10.5597409
fitness=213411.0,iteration=31,gap=155.59734115815317,delta=129916.0,timestamp=10.8122876
fitness=211169.0,iteration=34,gap=152.91215042816935,delta=127674.0,timestamp=11.6498314
fitness=210575.0,iteration=35,gap=152.20073058266962,delta=127080.0,timestamp=11.9120504
fitness=201679.0,iteration=37,gap=141.54620037127972,delta=118184.0,timestamp=12.4719692
fitness=199489.0,iteration=41,gap=138.92328881968982,delta=115994.0,timestamp=13.6446494
fitness=198917.0,iteration=43,gap=138.23821785735672,delta=115422.0,timestamp=14.1680604
fitness=196501.0,iteration=44,gap=135.3446314150548,delta=113006.0,timestamp=14.4332992
fitness=194783.0,iteration=45,gap=133.28702317504042,delta=111288.0,timestamp=14.7214755
fitness=189751.0,iteration=46,gap=127.2603149889215,delta=106256.0,timestamp=14.9894231
fitness=186167.0,iteration=48,gap=122.9678423857716,delta=102672.0,timestamp=15.5579037
fitness=182755.0,iteration=50,gap=118.88137014192466,delta=99260.0,timestamp=16.0842135
fitness=180253.0,iteration=52,gap=115.88478351997125,delta=96758.0,timestamp=16.6447388
fitness=175591.0,iteration=54,gap=110.30121564165518,delta=92096.0,timestamp=17.1649788
fitness=174909.0,iteration=55,gap=109.48440026348882,delta=91414.0,timestamp=17.4450375
fitness=168369.0,iteration=56,gap=101.65159590394634,delta=84874.0,timestamp=17.7242294
fitness=167477.0,iteration=57,gap=100.58326845918917,delta=83982.0,timestamp=17.9984703
fitness=154315.0,iteration=62,gap=84.81945026648302,delta=70820.0,timestamp=19.3717389
fitness=150361.0,iteration=67,gap=80.08383735553028,delta=66866.0,timestamp=20.8052362
fitness=143437.0,iteration=70,gap=71.79112521707887,delta=59942.0,timestamp=21.6723053
fitness=138379.0,iteration=71,gap=65.73327744176298,delta=54884.0,timestamp=21.9816437
fitness=133043.0,iteration=73,gap=59.34247559734116,delta=49548.0,timestamp=22.5546154
fitness=126235.0,iteration=75,gap=51.18869393376849,delta=42740.0,timestamp=23.1445264
fitness=126101.0,iteration=78,gap=51.0282052817534,delta=42606.0,timestamp=23.9821378
fitness=122781.0,iteration=80,gap=47.051919276603385,delta=39286.0,timestamp=24.54804
fitness=121817.0,iteration=83,gap=45.897359123300795,delta=38322.0,timestamp=25.3654342
fitness=120161.0,iteration=84,gap=43.91400682675609,delta=36666.0,timestamp=25.6723611
fitness=118469.0,iteration=87,gap=41.88753817593868,delta=34974.0,timestamp=26.4899377
fitness=117651.0,iteration=89,gap=40.907838792742076,delta=34156.0,timestamp=27.050624
fitness=116965.0,iteration=90,gap=40.086232708545424,delta=33470.0,timestamp=27.3386487
fitness=116265.0,iteration=91,gap=39.24785915324271,delta=32770.0,timestamp=27.6386447
fitness=115365.0,iteration=92,gap=38.169950296424936,delta=31870.0,timestamp=27.926077
fitness=114793.0,iteration=93,gap=37.484879334091865,delta=31298.0,timestamp=28.2136987
fitness=114011.0,iteration=94,gap=36.54829630516797,delta=30516.0,timestamp=28.4722079
fitness=113497.0,iteration=96,gap=35.93269058027427,delta=30002.0,timestamp=29.0271796
fitness=113017.0,iteration=97,gap=35.35780585663812,delta=29522.0,timestamp=29.3216823
fitness=112463.0,iteration=98,gap=34.6942930714414,delta=28968.0,timestamp=29.6187767
fitness=112003.0,iteration=99,gap=34.143361877956764,delta=28508.0,timestamp=29.9072921
fitness=111827.0,iteration=101,gap=33.93257081262351,delta=28332.0,timestamp=30.5146757
fitness=110155.0,iteration=102,gap=31.930055691957605,delta=26660.0,timestamp=30.8130572
