optimum=104772
execution_time=353.4822727,start_time=6.5213422,stop_time=360.0036149
[(82, 83), (122, 123), (56, 55), (148, 140), (135, 143), (142, 145), (52, 50), (59, 31), (147, 34), (75, 89), (128, 126), (11, 146), (115, 108), (88, 84), (105, 131), (46, 1), (86, 87), (38, 100), (24, 25), (78, 77), (66, 63), (19, 21), (54, 41), (117, 45), (12, 68), (37, 39), (112, 109), (8, 130), (6, 4), (32, 33), (132, 133), (47, 58), (14, 13), (16, 15), (113, 114), (95, 57), (27, 85), (138, 136), (93, 92), (2, 7), (60, 104), (70, 69), (101, 103), (119, 118), (42, 23), (149, 144), (79, 76), (116, 124), (17, 18), (26, 28), (102, 106), (73, 72), (111, 110), (44, 43), (71, 67), (74, 94), (48, 53), (64, 61), (125, 127), (139, 97), (5, 3), (9, 10), (40, 129), (121, 120), (20, 22), (51, 49), (98, 96), (80, 81), (62, 65), (36, 35), (137, 134), (30, 29), (99, 107), (91, 90), (0, 141)]
fitness=549394.0,iteration=0,gap=424.3710151567212,delta=444622.0,timestamp=6.9043215
fitness=526402.0,iteration=1,gap=402.42622074600087,delta=421630.0,timestamp=7.3026417
fitness=488186.0,iteration=4,gap=365.9508265567136,delta=383414.0,timestamp=8.537526
fitness=487780.0,iteration=5,gap=365.56331844385903,delta=383008.0,timestamp=8.9423049
fitness=458596.0,iteration=8,gap=337.7085480853663,delta=353824.0,timestamp=10.1284033
fitness=453328.0,iteration=10,gap=332.68048715305616,delta=348556.0,timestamp=10.9234846
fitness=439016.0,iteration=12,gap=319.02034894819224,delta=334244.0,timestamp=11.7584283
fitness=434090.0,iteration=14,gap=314.3187111060207,delta=329318.0,timestamp=12.5575745
fitness=426056.0,iteration=15,gap=306.6506318482037,delta=321284.0,timestamp=12.976751
fitness=414734.0,iteration=17,gap=295.8443095483526,delta=309962.0,timestamp=13.7808726
fitness=413750.0,iteration=18,gap=294.9051273240942,delta=308978.0,timestamp=14.1759547
fitness=402906.0,iteration=20,gap=284.5550337876532,delta=298134.0,timestamp=14.9994953
fitness=396554.0,iteration=22,gap=278.49234528309086,delta=291782.0,timestamp=15.8474033
fitness=389742.0,iteration=24,gap=271.9906081777574,delta=284970.0,timestamp=16.6684121
fitness=376674.0,iteration=28,gap=259.5178101019356,delta=271902.0,timestamp=18.2978109
fitness=368560.0,iteration=29,gap=251.77337456572366,delta=263788.0,timestamp=18.7058431
fitness=364744.0,iteration=31,gap=248.1311800862826,delta=259972.0,timestamp=19.5095514
fitness=353140.0,iteration=35,gap=237.05570190508914,delta=248368.0,timestamp=21.1625257
fitness=350994.0,iteration=37,gap=235.00744473714352,delta=246222.0,timestamp=21.9313162
fitness=344898.0,iteration=38,gap=229.18909632344517,delta=240126.0,timestamp=22.3687663
fitness=342022.0,iteration=43,gap=226.44408811514526,delta=237250.0,timestamp=24.3492677
fitness=334492.0,iteration=44,gap=219.25705341121673,delta=229720.0,timestamp=24.7361469
fitness=325788.0,iteration=45,gap=210.94949032184172,delta=221016.0,timestamp=25.1526191
fitness=309506.0,iteration=49,gap=195.40907876150115,delta=204734.0,timestamp=26.7458488
fitness=309194.0,iteration=53,gap=195.1112892757607,delta=204422.0,timestamp=28.2888627
fitness=308980.0,iteration=55,gap=194.9070362310541,delta=204208.0,timestamp=29.0940659
