optimum=130178
execution_time=346.61758130000004,start_time=13.3763375,stop_time=359.9939188
[(95, 94), (44, 166), (172, 19), (162, 102), (195, 8), (47, 50), (29, 189), (181, 178), (4, 3), (79, 170), (61, 62), (1, 6), (84, 9), (64, 69), (24, 182), (76, 114), (15, 145), (193, 185), (143, 144), (31, 35), (12, 14), (27, 30), (165, 198), (81, 86), (36, 37), (138, 124), (56, 59), (106, 105), (68, 67), (134, 133), (177, 176), (136, 135), (88, 129), (142, 141), (137, 99), (74, 34), (175, 173), (196, 128), (11, 10), (78, 80), (187, 57), (26, 28), (111, 118), (53, 52), (60, 58), (149, 199), (122, 190), (188, 186), (70, 71), (54, 75), (132, 168), (46, 39), (32, 100), (120, 113), (192, 96), (82, 83), (13, 126), (150, 152), (73, 72), (159, 158), (191, 179), (5, 0), (98, 92), (66, 65), (121, 85), (119, 93), (117, 125), (2, 7), (48, 55), (167, 163), (63, 77), (21, 22), (160, 169), (108, 110), (197, 115), (107, 109), (123, 171), (90, 156), (20, 23), (42, 41), (91, 87), (174, 101), (130, 153), (17, 16), (184, 183), (25, 103), (43, 45), (194, 97), (154, 157), (104, 131), (155, 33), (146, 18), (148, 147), (112, 116), (89, 151), (127, 180), (140, 139), (51, 40), (49, 161), (164, 38)]
fitness=697860.0,iteration=0,gap=436.0813655149103,delta=567682.0,timestamp=13.8662136
fitness=696548.0,iteration=2,gap=435.0735147259906,delta=566370.0,timestamp=14.9122266
fitness=677088.0,iteration=3,gap=420.12475226228696,delta=546910.0,timestamp=15.4189175
fitness=672702.0,iteration=4,gap=416.7555193657915,delta=542524.0,timestamp=15.9658551
fitness=665762.0,iteration=6,gap=411.42435741830417,delta=535584.0,timestamp=16.9480951
fitness=648908.0,iteration=7,gap=398.4774693112508,delta=518730.0,timestamp=17.4658746
fitness=630188.0,iteration=8,gap=384.0971592742245,delta=500010.0,timestamp=17.9908383
fitness=626444.0,iteration=10,gap=381.2210972668193,delta=496266.0,timestamp=19.04636
fitness=612656.0,iteration=12,gap=370.62944583570186,delta=482478.0,timestamp=20.0829294
fitness=598898.0,iteration=13,gap=360.06083977323357,delta=468720.0,timestamp=20.5866562
fitness=592758.0,iteration=17,gap=355.3442209897218,delta=462580.0,timestamp=22.5619628
fitness=580306.0,iteration=19,gap=345.77885664244343,delta=450128.0,timestamp=23.6481997
fitness=574142.0,iteration=20,gap=341.04380156401237,delta=443964.0,timestamp=24.1443573
fitness=567558.0,iteration=21,gap=335.9861113244941,delta=437380.0,timestamp=24.6520303
fitness=564286.0,iteration=22,gap=333.47262978383446,delta=434108.0,timestamp=25.1674876
fitness=563412.0,iteration=24,gap=332.8012413771913,delta=433234.0,timestamp=26.1873966
