optimum=42382
execution_time=29.429635400000002,start_time=1.1154479,stop_time=30.5450833
[(49, 50), (7, 5), (3, 2), (25, 26), (32, 48), (56, 22), (28, 30), (51, 47), (44, 45), (58, 27), (29, 31), (40, 39), (14, 15), (19, 18), (35, 36), (1, 0), (23, 24), (54, 53), (59, 57), (34, 33), (38, 37), (20, 16), (10, 12), (8, 13), (55, 52), (41, 42), (21, 17), (4, 6), (43, 46), (9, 11)]
fitness=155904.0,iteration=0,gap=267.85427775942617,delta=113522.0,timestamp=1.2888432
fitness=153024.0,iteration=2,gap=261.05894011608706,delta=110642.0,timestamp=1.6320084
fitness=142638.0,iteration=4,gap=236.5532537397952,delta=100256.0,timestamp=1.9893312
fitness=132650.0,iteration=5,gap=212.98664527393706,delta=90268.0,timestamp=2.1580089
fitness=125908.0,iteration=7,gap=197.07894861025906,delta=83526.0,timestamp=2.5121217
fitness=125212.0,iteration=9,gap=195.4367420131188,delta=82830.0,timestamp=2.8834781
fitness=121796.0,iteration=10,gap=187.3767165306026,delta=79414.0,timestamp=3.0618593
fitness=120046.0,iteration=11,gap=183.24760511537917,delta=77664.0,timestamp=3.2609341
fitness=115746.0,iteration=12,gap=173.10178849511587,delta=73364.0,timestamp=3.4325778
fitness=108580.0,iteration=13,gap=156.19366712283517,delta=66198.0,timestamp=3.6146981
fitness=104354.0,iteration=15,gap=146.22245292812988,delta=61972.0,timestamp=3.9558638
fitness=100554.0,iteration=17,gap=137.25638242650183,delta=58172.0,timestamp=4.3211161
fitness=94526.0,iteration=18,gap=123.03336322023502,delta=52144.0,timestamp=4.5122855
fitness=86784.0,iteration=19,gap=104.76617431928649,delta=44402.0,timestamp=4.6842144
fitness=84504.0,iteration=22,gap=99.38653201830967,delta=42122.0,timestamp=5.2157924
fitness=82756.0,iteration=24,gap=95.26213958756075,delta=40374.0,timestamp=5.5802538
fitness=81658.0,iteration=25,gap=92.6714171110377,delta=39276.0,timestamp=5.7562544
fitness=81426.0,iteration=27,gap=92.12401491199094,delta=39044.0,timestamp=6.1406399
fitness=80670.0,iteration=28,gap=90.34023878061441,delta=38288.0,timestamp=6.3277311
fitness=75720.0,iteration=29,gap=78.66075220612524,delta=33338.0,timestamp=6.5081204
fitness=72520.0,iteration=30,gap=71.11037704685953,delta=30138.0,timestamp=6.6910949
fitness=67968.0,iteration=31,gap=60.36996838280402,delta=25586.0,timestamp=6.8810784
fitness=65532.0,iteration=34,gap=54.62224529281299,delta=23150.0,timestamp=7.4359864
fitness=64040.0,iteration=35,gap=51.10188287480534,delta=21658.0,timestamp=7.6454509
fitness=63364.0,iteration=36,gap=49.50686612241046,delta=20982.0,timestamp=7.8351801
fitness=58906.0,iteration=37,gap=38.98824972865839,delta=16524.0,timestamp=8.0227694
fitness=51362.0,iteration=40,gap=21.188240290689446,delta=8980.0,timestamp=8.5663542
fitness=49872.0,iteration=45,gap=17.67259685715634,delta=7490.0,timestamp=9.5008422
fitness=47934.0,iteration=47,gap=13.099900901326034,delta=5552.0,timestamp=9.8759369
fitness=46688.0,iteration=62,gap=10.159973573686942,delta=4306.0,timestamp=12.5814728
fitness=46514.0,iteration=72,gap=9.749421924401869,delta=4132.0,timestamp=14.403941
fitness=46174.0,iteration=81,gap=8.947194563729886,delta=3792.0,timestamp=16.0198492
fitness=46116.0,iteration=82,gap=8.810344013968194,delta=3734.0,timestamp=16.2096117
fitness=45322.0,iteration=98,gap=6.936907177575385,delta=2940.0,timestamp=19.0867049
fitness=44982.0,iteration=109,gap=6.134679816903402,delta=2600.0,timestamp=21.0707277
fitness=44438.0,iteration=140,gap=4.851116039828229,delta=2056.0,timestamp=26.7007041
fitness=43222.0,iteration=152,gap=1.981973479307253,delta=840.0,timestamp=28.8639151
fitness=42382.0,iteration=161,gap=0.0,delta=0.0,timestamp=30.5450371
