optimum=47234
execution_time=300.1206431,start_time=0.828242,stop_time=300.9488851
[(41, 40), (10, 9), (57, 58), (67, 64), (65, 27), (21, 22), (23, 24), (25, 26), (55, 56), (16, 19), (34, 35), (29, 32), (69, 13), (2, 3), (59, 62), (36, 37), (12, 68), (15, 14), (8, 11), (7, 6), (63, 20), (1, 0), (48, 49), (39, 38), (46, 50), (52, 51), (18, 17), (30, 31), (33, 28), (61, 60), (54, 53), (47, 66), (44, 45), (5, 4), (42, 43)]
fitness=201212.0,iteration=0,gap=325.98975314392175,delta=153978.0,timestamp=0.958737
fitness=191518.0,iteration=1,gap=305.4664013210823,delta=144284.0,timestamp=1.0862042
fitness=177310.0,iteration=3,gap=275.38637422195876,delta=130076.0,timestamp=1.333084
fitness=176712.0,iteration=4,gap=274.1203370453487,delta=129478.0,timestamp=1.4641635
fitness=171244.0,iteration=5,gap=262.543930219757,delta=124010.0,timestamp=1.5850367
fitness=159360.0,iteration=6,gap=237.38408773341234,delta=112126.0,timestamp=1.719618
fitness=153246.0,iteration=8,gap=224.44002201803787,delta=106012.0,timestamp=1.9774244
fitness=148654.0,iteration=9,gap=214.71821145784818,delta=101420.0,timestamp=2.1153606
fitness=144690.0,iteration=10,gap=206.32595164500148,delta=97456.0,timestamp=2.2425088
fitness=138544.0,iteration=12,gap=193.31413812084514,delta=91310.0,timestamp=2.4943388
fitness=131646.0,iteration=14,gap=178.71025109031632,delta=84412.0,timestamp=2.7470321
fitness=119402.0,iteration=15,gap=152.78824575517635,delta=72168.0,timestamp=2.8758781
fitness=116022.0,iteration=18,gap=145.6323834525977,delta=68788.0,timestamp=3.2625064
fitness=113480.0,iteration=20,gap=140.25066689249272,delta=66246.0,timestamp=3.5130171
fitness=107996.0,iteration=22,gap=128.64038616251005,delta=60762.0,timestamp=3.7654825
fitness=107118.0,iteration=24,gap=126.78155565905915,delta=59884.0,timestamp=4.0196291
fitness=106798.0,iteration=25,gap=126.10407757124105,delta=59564.0,timestamp=4.1427103
fitness=103578.0,iteration=26,gap=119.28695431257145,delta=56344.0,timestamp=4.2748657
fitness=98944.0,iteration=28,gap=109.47622475335564,delta=51710.0,timestamp=4.5217617
fitness=96232.0,iteration=29,gap=103.73459795909726,delta=48998.0,timestamp=4.654799
fitness=93932.0,iteration=30,gap=98.86522420290468,delta=46698.0,timestamp=4.7797917
fitness=91202.0,iteration=32,gap=93.08548926620655,delta=43968.0,timestamp=5.0328145
fitness=90104.0,iteration=34,gap=90.7608925773807,delta=42870.0,timestamp=5.2826383
fitness=87886.0,iteration=35,gap=86.06512258119152,delta=40652.0,timestamp=5.3985729
fitness=86620.0,iteration=36,gap=83.38484989626117,delta=39386.0,timestamp=5.5243617
fitness=84006.0,iteration=37,gap=77.85070076639708,delta=36772.0,timestamp=5.6430305
fitness=83400.0,iteration=39,gap=76.56772663759156,delta=36166.0,timestamp=5.893933
fitness=82368.0,iteration=40,gap=74.3828598043782,delta=35134.0,timestamp=6.0143553
fitness=80022.0,iteration=41,gap=69.41609857306177,delta=32788.0,timestamp=6.1423231
fitness=78868.0,iteration=44,gap=66.97294321886777,delta=31634.0,timestamp=6.5248061
fitness=78762.0,iteration=45,gap=66.74852860227803,delta=31528.0,timestamp=6.6531031
fitness=78236.0,iteration=46,gap=65.63492399542702,delta=31002.0,timestamp=6.7729015
fitness=74816.0,iteration=47,gap=58.39437693187111,delta=27582.0,timestamp=6.8999761
fitness=73728.0,iteration=49,gap=56.09095143328958,delta=26494.0,timestamp=7.1633201
fitness=72850.0,iteration=52,gap=54.23212092983868,delta=25616.0,timestamp=7.5306101
fitness=71116.0,iteration=54,gap=50.56103654147436,delta=23882.0,timestamp=7.7796954
fitness=68736.0,iteration=55,gap=45.52229326332726,delta=21502.0,timestamp=7.9048273
fitness=65770.0,iteration=58,gap=39.242918236863275,delta=18536.0,timestamp=8.2829623
fitness=64264.0,iteration=59,gap=36.05453698606936,delta=17030.0,timestamp=8.4128826
fitness=62204.0,iteration=61,gap=31.69327179574036,delta=14970.0,timestamp=8.6599674
fitness=61890.0,iteration=63,gap=31.028496422068848,delta=14656.0,timestamp=8.9092075
fitness=60420.0,iteration=64,gap=27.916331456154463,delta=13186.0,timestamp=9.0360698
fitness=59816.0,iteration=65,gap=26.637591565397805,delta=12582.0,timestamp=9.1625472
fitness=57682.0,iteration=69,gap=22.11965956726087,delta=10448.0,timestamp=9.6741043
fitness=55548.0,iteration=71,gap=17.601727569123938,delta=8314.0,timestamp=9.9199021
fitness=55156.0,iteration=75,gap=16.771816911546765,delta=7922.0,timestamp=10.4048016
fitness=54650.0,iteration=77,gap=15.7005546851844,delta=7416.0,timestamp=10.651789
fitness=53760.0,iteration=78,gap=13.816318753440319,delta=6526.0,timestamp=10.7750589
fitness=53736.0,iteration=80,gap=13.765507896853963,delta=6502.0,timestamp=11.0333977
fitness=53210.0,iteration=82,gap=12.651903290002963,delta=5976.0,timestamp=11.2790381
fitness=52514.0,iteration=85,gap=11.178388448998602,delta=5280.0,timestamp=11.6571845
fitness=52296.0,iteration=89,gap=10.716856501672524,delta=5062.0,timestamp=12.1534442
fitness=51896.0,iteration=91,gap=9.870008891899902,delta=4662.0,timestamp=12.4089913
fitness=51050.0,iteration=93,gap=8.078926197230809,delta=3816.0,timestamp=12.6452516
fitness=49904.0,iteration=99,gap=5.6527077952322475,delta=2670.0,timestamp=13.3964737
fitness=49328.0,iteration=105,gap=4.433247237159673,delta=2094.0,timestamp=14.1250649
fitness=49024.0,iteration=110,gap=3.789643053732481,delta=1790.0,timestamp=14.7525434
fitness=49000.0,iteration=126,gap=3.7388321971461234,delta=1766.0,timestamp=16.7156907
fitness=48992.0,iteration=152,gap=3.721895244950671,delta=1758.0,timestamp=19.9452564
fitness=48474.0,iteration=175,gap=2.6252275902951263,delta=1240.0,timestamp=22.7703748
fitness=48082.0,iteration=177,gap=1.7953169327179572,delta=848.0,timestamp=23.0163404
fitness=47556.0,iteration=179,gap=0.6817123258669603,delta=322.0,timestamp=23.2738967
fitness=47252.0,iteration=191,gap=0.03810814243976796,delta=18.0,timestamp=24.7725495
fitness=47244.0,iteration=197,gap=0.021171190244315536,delta=10.0,timestamp=25.4997237
