optimum=53538
execution_time=96.4541311,start_time=1.3624128,stop_time=97.8165439
[(18, 19), (45, 46), (0, 1), (62, 63), (31, 35), (76, 75), (29, 28), (7, 5), (72, 71), (59, 58), (16, 17), (2, 3), (68, 67), (61, 60), (54, 55), (74, 79), (73, 47), (56, 57), (69, 70), (34, 33), (44, 43), (51, 50), (13, 37), (6, 4), (48, 49), (22, 21), (11, 9), (77, 12), (15, 14), (26, 27), (25, 30), (23, 24), (42, 78), (66, 65), (20, 64), (41, 39), (38, 40), (52, 53), (8, 10), (36, 32)]
fitness=232608.0,iteration=0,gap=334.47271097164634,delta=179070.0,timestamp=1.5380194
fitness=220486.0,iteration=1,gap=311.83084911651537,delta=166948.0,timestamp=1.7208062
fitness=214330.0,iteration=2,gap=300.33247413052413,delta=160792.0,timestamp=1.9319878
fitness=209506.0,iteration=3,gap=291.32205162688183,delta=155968.0,timestamp=2.135848
fitness=203276.0,iteration=4,gap=279.68545705853785,delta=149738.0,timestamp=2.3549065
fitness=190604.0,iteration=5,gap=256.0162874967313,delta=137066.0,timestamp=2.5396087
fitness=179966.0,iteration=6,gap=236.1462886174306,delta=126428.0,timestamp=2.7382409
fitness=179484.0,iteration=7,gap=235.24599349994398,delta=125946.0,timestamp=2.9751281
fitness=175538.0,iteration=8,gap=227.87552766259478,delta=122000.0,timestamp=3.1690565
fitness=158484.0,iteration=9,gap=196.02151742687437,delta=104946.0,timestamp=3.3669465
fitness=157202.0,iteration=11,gap=193.62695655422317,delta=103664.0,timestamp=3.7606262
fitness=156802.0,iteration=12,gap=192.87982367664088,delta=103264.0,timestamp=3.9861651
fitness=151952.0,iteration=13,gap=183.82083753595577,delta=98414.0,timestamp=4.181669
fitness=148618.0,iteration=14,gap=177.59348500130747,delta=95080.0,timestamp=4.3888161
fitness=148276.0,iteration=16,gap=176.95468639097462,delta=94738.0,timestamp=4.8591571
fitness=140752.0,iteration=18,gap=162.901116963652,delta=87214.0,timestamp=5.2853317
