optimum=69731
execution_time=124.3323905,start_time=1.829973,stop_time=126.1623635
[(45, 46), (82, 84), (3, 2), (60, 12), (17, 16), (80, 81), (59, 58), (10, 8), (39, 38), (72, 71), (86, 25), (31, 28), (24, 20), (27, 26), (23, 19), (70, 69), (87, 44), (55, 54), (47, 48), (1, 0), (74, 73), (68, 67), (41, 40), (51, 42), (18, 32), (36, 35), (65, 64), (43, 77), (30, 29), (53, 52), (89, 83), (6, 7), (11, 9), (78, 79), (62, 61), (4, 5), (66, 63), (33, 34), (75, 76), (85, 88), (56, 57), (15, 14), (13, 37), (22, 21), (49, 50)]
fitness=299037.0,iteration=0,gap=328.8436993589652,delta=229306.0,timestamp=2.0262429
fitness=288379.0,iteration=1,gap=313.5592491144541,delta=218648.0,timestamp=2.2402226
fitness=277821.0,iteration=2,gap=298.41820711018056,delta=208090.0,timestamp=2.5023096
fitness=274869.0,iteration=4,gap=294.18479585837,delta=205138.0,timestamp=2.9571019
fitness=267019.0,iteration=6,gap=282.9272489997275,delta=197288.0,timestamp=3.4564576
fitness=255965.0,iteration=7,gap=267.07490212387603,delta=186234.0,timestamp=3.698073
fitness=250305.0,iteration=8,gap=258.95799572643443,delta=180574.0,timestamp=3.9236942
fitness=248509.0,iteration=9,gap=256.3823837317692,delta=178778.0,timestamp=4.1595422
fitness=239047.0,iteration=10,gap=242.81309604049846,delta=169316.0,timestamp=4.3956452
fitness=236315.0,iteration=12,gap=238.89518291721043,delta=166584.0,timestamp=4.8855657
fitness=233591.0,iteration=13,gap=234.98874245314136,delta=163860.0,timestamp=5.1164418
fitness=225805.0,iteration=14,gap=223.82297686825083,delta=156074.0,timestamp=5.3222691
fitness=221115.0,iteration=15,gap=217.09713040111285,delta=151384.0,timestamp=5.5499253
fitness=215583.0,iteration=17,gap=209.16378655117524,delta=145852.0,timestamp=6.0119275
fitness=209953.0,iteration=18,gap=201.08990262580488,delta=140222.0,timestamp=6.2354956
fitness=205899.0,iteration=19,gap=195.27613256657727,delta=136168.0,timestamp=6.4509757
fitness=202865.0,iteration=20,gap=190.92512655777202,delta=133134.0,timestamp=6.7338565
fitness=202789.0,iteration=21,gap=190.8161362951915,delta=133058.0,timestamp=6.9320471
fitness=199377.0,iteration=22,gap=185.92304713828855,delta=129646.0,timestamp=7.1807641
fitness=195361.0,iteration=23,gap=180.1637722103512,delta=125630.0,timestamp=7.3812438
fitness=184727.0,iteration=24,gap=164.91373994349715,delta=114996.0,timestamp=7.6089378
fitness=182033.0,iteration=25,gap=161.05032195149934,delta=112302.0,timestamp=7.8452211
fitness=178535.0,iteration=26,gap=156.03390170799213,delta=108804.0,timestamp=8.0783209
fitness=160893.0,iteration=28,gap=130.7338199652952,delta=91162.0,timestamp=8.5599627
fitness=159525.0,iteration=32,gap=128.77199523884642,delta=89794.0,timestamp=9.5517845
fitness=155569.0,iteration=33,gap=123.09876525505155,delta=85838.0,timestamp=9.8003244
fitness=151041.0,iteration=34,gap=116.60524013709828,delta=81310.0,timestamp=10.0401611
fitness=144947.0,iteration=36,gap=107.865941977026,delta=75216.0,timestamp=10.543897
fitness=144119.0,iteration=38,gap=106.67852174785963,delta=74388.0,timestamp=10.9815647
fitness=143303.0,iteration=39,gap=105.50831050752177,delta=73572.0,timestamp=11.2270563
fitness=140527.0,iteration=40,gap=101.5272977585292,delta=70796.0,timestamp=11.4663307
fitness=136005.0,iteration=41,gap=95.04237713499018,delta=66274.0,timestamp=11.7164125
fitness=132395.0,iteration=42,gap=89.865339662417,delta=62664.0,timestamp=11.9692562
fitness=132047.0,iteration=45,gap=89.36627898639055,delta=62316.0,timestamp=12.6759859
fitness=127195.0,iteration=46,gap=82.40811117006783,delta=57464.0,timestamp=12.9179164
